"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"6560","Values of Markets with Satiation or Fixed Prices",4,54,6,48,"Robert J. Aumann","Jacques H. Dreze","","","","OtherAuthor","OtherAuthor","","","",2
"6561","Valuing Biodiversity for Use in Pharmaceutical Research",2,104,1,23,"R. David Simpson","Roger A. Sedjo","John W. Reid","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6562","Valuing Public Goods: A Comparison of Survey and Hedonic Approaches",1,72,1,13,"David S. Brookshire","Mark A. Thayer","William D. Schulze","Ralph C. d'Arge","","OtherAuthor","OtherAuthor","SCHULZE18","OtherAuthor","",4
"6563","Valuing Research Leads: Bioprospecting and the Conservation of Genetic Resources",2,108,1,34,"Gordon C. Rausser","Arthur A. Small","","","","OtherAuthor","OtherAuthor","","","",2
"6564","Valuing the Impact of Large-Scale Ecological Change in a Market: The Effect of C",1,88,4,25,"Brent Sohngen","Robert Mendelsohn","","","","OtherAuthor","Mendelsohn","","","",2
"6565","Vancouver's Gasoline-Price Wars: An Empirical Exercise in Uncovering Supergame S",5,59,2,20,"Margaret E. Slade","","","","","OtherAuthor","","","","",1
"6566","Variable Returns to Scale in Production and Patterns of Specialization",1,71,1,10,"Arvind Panagariya","","","","","Panagariya","","","","",1
"6567","Variable Returns to Scale, Non-Uniqueness of Equilibirum and the Gains from Inte",5,58,4,10,"Murray C. Kemp","Albert G. Schweinberger","","","","OtherAuthor","OtherAuthor","","","",2
"6568","Variance Bounds in a Simple Model of Asset Pricing,",2,90,1,10,"Ronald W. Michener","","","","","Michener","","","","",1
"6569","Variance Bounds Tests and Stock Price Valuation Models",2,93,5,49,"Allan W. Kleidon","","","","","OtherAuthor","","","","",1
"6570","VAT Base Broadening, Self Supply, and the Informal Sector",1,91,4,11,"John Piggott","John Whalley","","","","OtherAuthor","OtherAuthor","","","",2
"6571","Veblen Effects in a Theory of Conspicuous Consumption",1,86,3,25,"Laurie Simon Bagwell","B. Douglas Bernheim","","","","OtherAuthor","Bernheim","","","",2
"6572","Vector Autoregressions and Causality",4,61,6,27,"Hiro Y. Toda","Peter C. B. Phillips","","","","OtherAuthor","Philips6","","","",2
"6573","Vertical and Horizontal Communication in Economic Processes",5,47,4,14,"Robert L. Welch","","","","","OtherAuthor","","","","",1
"6574","Vertical Control and Price Versus Nonprice Competition",3,108,1,16,"Ralph A. Winter","","","","","OtherAuthor","","","","",1
"6575","Vertical Foreclosure and International Trade Policy",5,58,1,13,"Barbara J. Spencer","Ronald W. Jones","","","","OtherAuthor","Jones13","","","",2
"6576","Vertical Integration, Market Foreclosure, and Consumer Welfare in the Cable Tele",1,91,3,26,"Tasneem Chipty","","","","","OtherAuthor","","","","",1
"6577","Vertical Integration: Does Product Price Rise or Fall?",1,71,3,13,"Fred M. Westfield","","","","","OtherAuthor","","","","",1
"6578","Vertical Integration: Scale Distortions, Partial Integration, and the Direction",3,101,1,18,"Herman C. Quirmbach","","","","","OtherAuthor","","","","",1
"6579","Vertical Mergers and Market Foreclosure",3,103,2,12,"Michael A. Salinger","","","","","OtherAuthor","","","","",1
"6580","Vertical Product Differentiation and North-South Trade",1,77,5,13,"Harry Flam","Elhanan Helpman","","","","OtherAuthor","Helpman","","","",2
"6581","Vertical Restraints in a Model of Vertical Differentiation",3,103,3,16,"Patrick Bolton","Giacomo Bonanno","","","","Bolton5","OtherAuthor","","","",2
"6582","Vested Interests in a Positive Theory of Stagnation and Growth",5,63,2,29,"Per Krusell","Jose-Victor Rios-Rull","","","","Krusell","OtherAuthor","","","",2
"6583","Veteran Status as a Screening Device",1,72,1,10,"Dennis De Tray","","","","","OtherAuthor","","","","",1
"6584","Veto Threats: Rhetoric in a Bargaining Game",3,104,2,23,"Steven A. Matthews","","","","","OtherAuthor","","","","",1
"6585","Violations of the Gold Points, 1890-1908",2,92,5,33,"Truman A. Clark","","","","","OtherAuthor","","","","",1
"6586","Virtual Bayesian Implementation",4,65,5,25,"John Duggan","","","","","Duggan13","","","","",1
"6587","Virtual Implementation in Iteratively Undominated Strategies: Complete Informati",4,60,5,16,"Dilip Abreu","Hitoshi Matsushima","","","","Abreu","OtherAuthor","","","",2
"6588","Virtual Implementation in Nash Equilibrium",4,59,4,25,"Dilip Abreu","Arunava Sen","","","","Abreu","OtherAuthor","","","",2
"6589","Volatility and Links between National Stock Markets",4,62,4,33,"Mervyn King","Enrique Sentana","Sushil Wadhwani","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6590","Voluntary and Efficient Allocations are Walrasian",4,53,4,10,"Joaquim Silvestre","","","","","OtherAuthor","","","","",1
"6591","Voluntary Compliance with Market-Based Environmental Policy: Evidence from the U",2,107,5,36,"Juan-Pablo Montero","","","","","OtherAuthor","","","","",1
"6592","Voluntary Donations and Public Expenditures in a Federalist System",1,77,1,13,"Richard Steinberg","","","","","OtherAuthor","","","","",1
"6593","Voluntary Export Restraints on Automobiles: Evaluating a Trade Policy",1,89,3,31,"Steven Berry","James Levinsohn","Ariel Pakes","","","Berry6","LEVINSOHN14","Pakes","","",3
"6594","Voluntary Export Restraints, Antidumping Procedure, and Domestic Politics",1,86,3,18,"B. Peter Rosendorff","","","","","OtherAuthor","","","","",1
"6595","Voters as Fiscal Conservatives",3,107,2,35,"Sam Peltzman","","","","","OtherAuthor","","","","",1
"6596","Voting and Lottery Drafts as Efficient Public Goods Mechanisms",5,61,2,29,"John O. Ledyard","Thomas R. Palfrey","","","","Ledyard","Palfrey","","","",2
"6597","Voting as Communicating",5,67,1,31,"Thomas Piketty","","","","","OtherAuthor","","","","",1
"6598","Voting Behavior and Information Aggregation in Elections With Private Informatio",4,65,5,30,"Timothy Feddersen","Wolfgang Pesendorfer","","","","OtherAuthor","Pesendorfer","","","",2
"6599","Voting by Committees",4,59,3,15,"Salvador Barbera","Hugo Sonnenschein","Lin Zhou","","","OtherAuthor","Sonnenchein","OtherAuthor","","",3
"6600","Voting for Protection: Does Direct Foreign Investment Influence Legislator Behav",1,88,4,13,"Bruce A. Blonigen","David N. Figlio","","","","OtherAuthor","OtherAuthor","","","",2
"6601","Voting for Public Goods",5,50,4,17,"R. J. Aumann","M. Kurz","A. Neyman","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6602","Voting on the Budget Deficit",1,80,1,13,"Guido Tabellini","Alberto Alesina","","","","OtherAuthor","Alesina","","","",2
"6603","Voting over Economic Plans",1,85,4,12,"Richard T. Boylan","Richard D. McKelvey","","","","OtherAuthor","OtherAuthor","","","",2
"6604","Voting with Proportional Veto Power",4,50,1,18,"H. Moulin","","","","","OtherAuthor","","","","",1
"6605","Vouchers for Private Schooling in Colombia: Evidence from a Randomized Natural E",1,92,5,24,"Joshua Angrist","Eric Bettinger","Erik Bloom","Elizabeth King","Michael Kremer","Angrist","OtherAuthor","OtherAuthor","OtherAuthor","Kremer",5
"6606","Wage and Employment Determination under Trade Unionism: The International Typogr",2,89,6,20,"James N. Dertouzos","John H. Pencavel","","","","OtherAuthor","Pencavel","","","",2
"6607","Wage and Employment Structure in an Economy with Internal Labor Markets",3,99,4,24,"Andrew J. Oswald","","","","","OtherAuthor","","","","",1
"6608","Wage and Technology Dispersion",5,67,4,23,"Daron Acemoglu","Robert Shimer","","","","Acemoglu","Shimer","","","",2
"6609","Wage Bargaining and Employment",1,71,5,13,"Ian M. McDonald","Robert M. Solow","","","","OtherAuthor","OtherAuthor","","","",2
"6610","Wage Bargaining in a Macroeconomic Model with Rationing",3,100,3,26,"Christopher J. Ellis","John Fender","","","","OtherAuthor","OtherAuthor","","","",2
"6611","Wage Bargaining, Inventories, and Union Legislation",5,67,2,21,"Andrew K. G. Hildreth","Melvyn G. Coles","","","","OtherAuthor","OtherAuthor","","","",2
"6612","Wage Determination and Efficiency in Search Equilibrium",5,49,2,11,"Peter A. Diamond","","","","","Diamond","","","","",1
"6613","Wage Determination in the Federal Government: The Role of Constituents and Burea",2,88,6,38,"George J. Borjas","","","","","OtherAuthor","","","","",1
"6614","Wage Flexibility and Openness",3,100,2,12,"Joshua Aizenman","","","","","OtherAuthor","","","","",1
"6615","Wage Growth and the Inflation Process: An Empirical Note",1,81,4,7,"Yash P. Mehra","","","","","OtherAuthor","","","","",1
"6616","Wage Indexation and Discretionary Monetary Policy",1,81,5,10,"Laurence Ball","Stephen G. Cecchetti","","","","Ball33","CECCHETTI","","","",2
"6617","Wage Indexation and the Effect of Inflation Uncertainty on Employment: An Empiri",1,76,1,9,"A. Steven Holland","","","","","OtherAuthor","","","","",1
"6618","Wage Inequality and the Rise in Returns to Skill",2,101,3,33,"Chinhui Juhn","Kevin M. Murphy","Brooks Pierce","","","OtherAuthor","Murphy3","OtherAuthor","","",3
"6619","Wage Inequality in the United States during the 1980s: Rising Dispersion or Fall",3,114,3,47,"David S. Lee","","","","","Lee7","","","","",1
"6620","Wage Rigidity in a Competitive Incomplete Contract Market",2,107,1,29,"Ernst Fehr","Armin Falk","","","","OtherAuthor","OtherAuthor","","","",2
"6621","Wage Shocks and North American Labor-Market Integration",1,90,4,23,"Raymond Robertson","","","","","OtherAuthor","","","","",1
"6622","Wage-Employment Contracts",3,98,0,15,"Jerry Green","Charles M. Kahn","","","","Green1","Kahn28","","","",2
"6623","Wage-Price Flexibility, Market Power, and the Cyclical Behavior of Real Wages, 1",3,107,4,13,"David M. Garman","Daniel J. Richards","","","","OtherAuthor","OtherAuthor","","","",2
"6624","Wage-Risk Premiums and Workers' Compensation: A Refinement of Estimates of Compe",2,91,2,9,"Richard J. Arnould","Len M. Nichols","","","","Arnould","OtherAuthor","","","",2
"6625","Wages and Employment in a Segmented Labor Market",3,100,4,27,"Ian M. McDonald","Robert M. Solow","","","","OtherAuthor","OtherAuthor","","","",2
"6626","Wages and Job Mobility of Young Workers",2,93,3,23,"Christopher J. Flinn","","","","","Flinn","","","","",1
"6627","Wages as Sorting Mechanisms in Competitive Markets with Asymmetric Information:",5,47,4,12,"J. Luis Guasch","Andrew Weiss","","","","OtherAuthor","WEISS21","","","",2
"6628","Wages, Flexible Exchange Rates, and Macroeconomic Policy",3,94,4,17,"Jeffrey Sachs","","","","","SACHS","","","","",1
"6629","Wages, Implicit Contracts, and the Business Cycle: Evidence from Canadian Micro",2,107,4,9,"James Ted McDonald","Christopher Worswick","","","","OtherAuthor","OtherAuthor","","","",2
"6630","Wages, Profits, and Rent-Sharing",3,111,1,25,"David G. Blanchflower","Andrew J. Oswald","Peter Sanfey","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6631","Wages, Rents, and the Quality of Life",2,90,6,22,"Jennifer Roback","","","","","OtherAuthor","","","","",1
"6632","Waiting-Line Auctions,",2,90,2,15,"Charles A. Holt, Jr.","Roger Sherman","","","","Holt24","OtherAuthor","","","",2
"6633","Walrasian Analysis via Strategic Outcome Functions",4,48,7,9,"David Schmeidler","","","","","SCHMEIDLER","","","","",1
"6634","Walrasian Economics in Retrospect",3,115,4,29,"Samuel Bowles","Herbert Gintis","","","","OtherAuthor","OtherAuthor","","","",2
"6635","Walrasian Indeterminacy and Keynesian Macroeconomics",5,53,5,25,"J. D. Geanakoplos","H. M. Polemarchakis","","","","OtherAuthor","OtherAuthor","","","",2
"6636","Walras's Theories of Tatonnement",2,94,4,17,"Donald A. Walker","","","","","OtherAuthor","","","","",1
"6637","Walras's Theories of Tatonnement",2,95,4,17,"Donald A. Walker","","","","","OtherAuthor","","","","",1
"6638","War Politics: An Economic, Rational-Voter Framework",1,85,4,19,"Gregory D. Hess","Athanasios Orphanides","","","","OtherAuthor","OtherAuthor","","","",2
"6639","Warm-Glow Versus Cold-Prickle: The Effects of Positive and Negative Framing on C",3,110,1,21,"James Andreoni","","","","","Andreoni","","","","",1
"6640","Warranties, Durability, and Maintenance: Two-sided Moral Hazard in a Continuous-",5,60,3,23,"Philip H. Dybvig","Nancy A. Lutz","","","","OtherAuthor","OtherAuthor","","","",2
"6641","Was Prometheus Unbound by Chance? Risk, Diversification, and Growth",2,105,4,43,"Daron Acemoglu","Fabrizio Zilibotti","","","","Acemoglu","OtherAuthor","","","",2
"6642","Was the Crash of 1929 Expected?",1,84,1,11,"Peter Rappoport","Eugene N. White","","","","OtherAuthor","OtherAuthor","","","",2
"6643","Was the Deflation During the Great Depression Anticipated? Evidence from the Com",1,82,1,22,"James D. Hamilton","","","","","Hamilton16","","","","",1
"6644","Wasteful Commuting",2,90,5,19,"Bruce W. Hamilton","Ailsa Roell","","","","OtherAuthor","OtherAuthor","","","",2
"6645","Waves of Creative Destruction: Firm-Specific Learning-by-Doing and the Dynamics",5,64,2,24,"Jeremy C. Stein","","","","","Stein1","","","","",1
"6646","Wealth and Wealth Proxies in a Permanent Income Model",3,95,3,27,"J. Walter Elliott","","","","","OtherAuthor","","","","",1
"6647","Wealth Inequality and Asset Pricing",5,68,1,23,"Christian Gollier","","","","","OtherAuthor","","","","",1
"6648","Weighted Minimum Mean–Square Distance from Independence Estimation",4,70,5,17,"Donald J. Brown","Marten H. Wegkamp","","","","brown6","OtherAuthor","","","",2
"6649","Welfare and Child Health: The Link Between AFDC Participation and Birth Weight",1,83,4,15,"Janet Currie","Nancy Cole","","","","Janet","OtherAuthor","","","",2
"6650","Welfare and Macroeconomic Interdependence",3,116,2,25,"Giancarlo Corsetti","Paolo Pesenti","","","","OtherAuthor","OtherAuthor","","","",2
"6651","Welfare Costs per Dollar of Additional Tax Revenue in the United States",1,74,3,11,"Charles Stuart","","","","","OtherAuthor","","","","",1
"6652","Welfare Dominance: An Application to Commodity Taxation",1,81,3,17,"Shlomo Yitzhaki","Joel Slemrod","","","","OtherAuthor","SLEMROD","","","",2
"6653","Welfare Economics of Decision Making with Changing Preferences",5,49,1,8,"Paul A. Grout","","","","","OtherAuthor","","","","",1
"6654","Welfare Effects of British Free Trade: Debate and Evidence from the 1840s",2,96,6,23,"Douglas A. Irwin","","","","","OtherAuthor","","","","",1
"6655","Welfare Measurement and Measurement Error",5,69,2,22,"Andrew Cresher","Christian Schluter","","","","OtherAuthor","OtherAuthor","","","",2
"6656","Welfare Measurement in the Household Production Framework",1,73,4,9,"Nancy E. Bockstael","Kenneth E. McConnell","","","","OtherAuthor","OtherAuthor","","","",2
"6657","Welfare Measurement: A Synthesis",1,72,4,14,"G. W. McKenzie","I. F. Pearce","","","","OtherAuthor","OtherAuthor","","","",2
"6658","Welfare Quandaries and Productivity Concerns",1,71,1,17,"Moses Abramovitz","","","","","OtherAuthor","","","","",1
"6659","Welfare Rankings in the Presence of Contaminated Data",4,70,3,13,"Frank A. Cowell","Maria-Pia Victoria-Feser","","","","Sloan22","OtherAuthor","","","",2
"6660","Welfare Transfers in Two-Parent Families: Labor Supply and Welfare Participation",4,64,2,38,"Hilary Williamson Hoynes","","","","","OtherAuthor","","","","",1
"6661","Welfare, Marital Prospects, and Nonmarital Childbearing",2,107,6,30,"Mark R. Rosenzweig","","","","","OtherAuthor","","","","",1
"6662","Welfare, the Earned Income Tax Credit, and the Labor Supply of Single Mothers",3,116,3,51,"Bruce D. Meyer","Dan T. Rosenbaum","","","","Meyer9","OtherAuthor","","","",2
"6663","Welfare-enhancing Export Subsidies",2,94,1,23,"Motoshige Itoh","Kazuharu Kiyono","","","","OtherAuthor","OtherAuthor","","","",2
"6664","Welfare-enhancing Export Subsidies",2,95,1,23,"Motoshige Itoh","Kazuharu Kiyono","","","","OtherAuthor","OtherAuthor","","","",2
"6665","Welfare-Improving Health Expenditure Subsidies",1,87,1,16,"William Jack","Louise Sheiner","","","","OtherAuthor","OtherAuthor","","","",2
"6666","What Accounts for the Variation in Retirement Wealth Among U.S. Households?",1,91,4,26,"B. Douglas Bernheim","Jonathan Skinner","Steven Weinberg","","","Bernheim","OtherAuthor","OtherAuthor","","",3
"6667","What are Corporate Pension Liabilities?",3,97,3,18,"Jeremy I. Bulow","","","","","OtherAuthor","","","","",1
"6668","What Can Explain the Apparent Lack of International Consumption Risk Sharing?",2,104,2,31,"Karen K. Lewis","","","","","OtherAuthor","","","","",1
